,Links
0,https://www.chegg.com/homework-help/mintcom-went-launch-170-million-acquisition-24-months-web-ww-chapter-14.1c-problem-3dq-solution-9780132965828-exc
1,https://www.nytimes.com/2009/09/15/technology/internet/15mint.html
2,https://prezi.com/ajjpwoo7gaz4/mintcom-case-141/
3,https://techcrunch.com/2009/09/14/the-value-of-techcrunch50-mint-acquired-by-intuit-for-170m-two-years-after-winning-tc40/
4,https://medium.com/fast-company/what-the-hell-happened-to-mint-65e52355b11c
5,https://okdork.com/quant-based-marketing-for-pre-launch-start-ups/
6,https://en.wikipedia.org/wiki/Intuit_Mint
7,https://pdfcoffee.com/download/marketing-plan-the-mint-pdf-free.html
8,https://www.fastcompany.com/90453586/what-the-hell-happened-to-mint
9,https://neilpatel.com/blog/how-mint-grew/
